Name (Party),Total Assets in Sikkim 2024,Total Assets in Sikkim 2019,Asset Increase,% Increase in Asset,Date
Samdup Lepcha (Sikkim Krantikari Morcha),"65,97,35,23765 Crore+","23,71,16,26323 Crore+","42,26,18,97442 Crore+",178%,30/05/2024 12:55:06
Sanjeet Kharel (Sikkim Krantikari Morcha),"32,97,76,70832 Crore+","4,07,63,8834 Crore+","28,90,12,82528 Crore+",709%,30/05/2024 12:55:06
Kunga Nima Lepcha (Sikkim Krantikari Morcha),"19,20,60,69919 Crore+","62,97,79762 Lacs+","18,57,62,90218 Crore+",2950%,30/05/2024 12:55:06
Arun Kumar Upreti (Sikkim Krantikari Morcha),"26,06,04,14926 Crore+","11,42,34,45011 Crore+","14,63,69,69914 Crore+",128%,30/05/2024 12:55:06
Sonam Tsh. Venchungpa (Sikkim Krantikari Morcha),"19,48,92,05619 Crore+","7,22,97,3537 Crore+","12,25,94,70312 Crore+",170%,30/05/2024 12:55:06
Pawan Kumar Chamling (Sikkim Democratic Front),"22,88,41,53622 Crore+","13,55,60,66213 Crore+","9,32,80,8749 Crore+",69%,30/05/2024 12:55:06
Narendra Kumar Subba (BJP),"12,15,77,84512 Crore+","6,12,01,4846 Crore+","6,03,76,3616 Crore+",99%,30/05/2024 12:55:06
Sonam Lama (Sikkim Krantikari Morcha),"7,18,40,1527 Crore+","1,27,02,6011 Crore+","5,91,37,5515 Crore+",466%,30/05/2024 12:55:06
Lok Nath Sharma (Sikkim Krantikari Morcha),"7,79,46,5447 Crore+","2,09,80,4132 Crore+","5,69,66,1315 Crore+",272%,30/05/2024 12:55:06
Lall Bahadur Das (Sikkim Krantikari Morcha),"6,17,16,6736 Crore+","64,41,56764 Lacs+","5,52,75,1065 Crore+",858%,30/05/2024 12:55:06
Dilli Ram Thapa (BJP),"72,66,34,72072 Crore+","67,56,93,07467 Crore+","5,09,41,6465 Crore+",8%,30/05/2024 12:55:06
Mani Kumar Sharma (Sikkim Democratic Front),"14,27,78,96514 Crore+","9,24,58,0699 Crore+","5,03,20,8965 Crore+",54%,30/05/2024 12:55:06
Pintso Namgyal Lepcha (Sikkim Krantikari Morcha),"7,54,48,2847 Crore+","2,78,36,0652 Crore+","4,76,12,2194 Crore+",171%,30/05/2024 12:55:06
Mingma Norbu Sherpa (Sikkim Krantikari Morcha),"6,01,49,9036 Crore+","1,67,35,9611 Crore+","4,34,13,9424 Crore+",259%,30/05/2024 12:55:06
P S Tamang (Sikkim Krantikari Morcha),"6,69,21,2556 Crore+","3,89,28,3153 Crore+","2,79,92,9402 Crore+",72%,30/05/2024 12:55:06
Bedu Singh Panth (Sikkim Krantikari Morcha),"11,35,41,14611 Crore+","8,81,41,4658 Crore+","2,53,99,6812 Crore+",29%,30/05/2024 12:55:06
Bhim Hang Limboo (Sikkim Krantikari Morcha),"1,58,53,1151 Crore+","39,65,87539 Lacs+","1,18,87,2401 Crore+",300%,30/05/2024 12:55:06
Raj Kumari Thapa (Sikkim Krantikari Morcha),"67,30,05067 Lacs+","37,10,89037 Lacs+","30,19,16030 Lacs+",81%,30/05/2024 12:55:06
G.T. Dhungel (Sikkim Krantikari Morcha),"8,55,39,5448 Crore+","19,97,91,07219 Crore+","-11,42,51,528",-57%,30/05/2024 12:55:06
